,precision,recall,f1-score,support
Black-headedGull,0.7073170731707317,0.6041666666666666,0.6516853932584269,48.0
CarrionCrow,0.5454545454545454,0.5581395348837209,0.5517241379310344,43.0
CommonStarling,0.5609756097560976,0.4791666666666667,0.5168539325842697,48.0
EurasianBlueTit,0.5319148936170213,0.7352941176470589,0.617283950617284,34.0
EurasianBullfinch,0.5818181818181818,0.6037735849056604,0.5925925925925926,53.0
EurasianCollaredDove,0.8448275862068966,0.8305084745762712,0.8376068376068375,59.0
EurasianJay,0.45714285714285713,0.2807017543859649,0.3478260869565218,57.0
EurasianMagpie,0.4727272727272727,0.5416666666666666,0.5048543689320388,48.0
EuropeanHerringGull,0.75,0.7894736842105263,0.7692307692307692,38.0
GreatTit,0.45652173913043476,0.5675675675675675,0.506024096385542,37.0
HouseSparrow,0.75,0.5853658536585366,0.6575342465753423,41.0
Mallard,0.625,0.625,0.625,48.0
MuteSwan,0.5526315789473685,0.45652173913043476,0.5,46.0
Rook,0.6122448979591837,0.7692307692307693,0.6818181818181818,39.0
ThrushNightingale,0.8421052631578947,0.7804878048780488,0.810126582278481,41.0
WesternJackdaw,0.39622641509433965,0.4772727272727273,0.4329896907216495,44.0
WhooperSwan,0.84,0.9130434782608695,0.8749999999999999,46.0
accuracy,0.6168831168831169,0.6168831168831169,0.6168831168831169,0.6168831168831169
macro avg,0.6192298773048721,0.623375358271068,0.6163618157346453,770.0
weighted avg,0.6206326361585355,0.6168831168831169,0.613905451489149,770.0
